Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,219,812,582,0.205,6.220,7960953
1,220,808,590,0.274,8.294,8026746
1,221,809,605,0.460,13.940,8158332
1,222,812,609,0.153,4.636,8224125
1,223,812,622,0.398,12.055,8158332
1,224,806,637,0.494,14.981,8553090
1,225,789,649,0.637,19.295,8553090
1,226,781,657,0.346,10.491,8487297
1,227,773,657,0.245,7.418,8487297
1,228,774,646,0.338,10.242,8618883
1,229,773,664,0.552,16.717,8487297
1,230,773,686,0.673,20.400,8158332
1,231,768,704,0.572,17.323,8224125
1,232,765,714,0.319,9.681,8092539
1,233,742,672,1.465,44.403,8487297
1,234,712,712,1.530,46.364,8158332
1,235,708,714,0.137,4.147,8421504
1,236,701,724,0.374,11.319,8618883
1,237,694,736,0.425,12.882,8289918
1,238,694,736,0.000,0.000,8618883
1,239,697,753,0.528,16.007,8421504
1,240,677,770,0.803,24.340,8289918
1,241,670,766,0.247,7.476,8224125
1,242,696,757,0.842,25.513,8092539
1,243,722,765,0.832,25.225,8421504
1,244,765,762,1.319,39.970,8487297
1,245,801,781,1.246,37.746,8289918
1,246,786,781,0.459,13.909,8421504
1,247,861,802,2.383,72.220,8224125
1,248,914,826,1.780,53.949,8289918
1,249,993,806,2.494,75.566,8224125
1,250,1041,805,1.469,44.519,8421504
1,251,1033,801,0.274,8.294,8224125
1,252,1088,756,2.175,65.895,8553090
1,253,1154,630,4.353,131.895,8750469
1,254,1246,536,4.025,121.964,8487297
1,255,1304,437,3.511,106.394,8289918
1,256,1318,429,0.493,14.952,8289918
1,257,1446,296,5.648,171.164,8092539
1,258,1490,252,1.904,57.700,8487297
1,259,1528,254,1.164,35.285,8289918
