Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,269,944,510,0.532,16.125,8553090
1,270,944,506,0.132,4.000,8947848
1,271,937,508,0.240,7.280,8618883
1,272,948,496,0.537,16.279,8882055
1,273,926,524,1.175,35.609,8421504
1,274,949,489,1.382,41.881,9013641
1,275,950,489,0.033,1.000,8947848
1,276,929,524,1.347,40.817,8421504
1,277,950,486,1.433,43.417,9145227
1,278,924,510,1.168,35.384,8158332
1,279,945,488,1.004,30.414,8816262
1,280,945,488,0.000,0.000,8816262
1,281,920,509,1.077,32.650,8553090
1,282,941,485,1.052,31.890,8816262
1,283,917,502,0.971,29.411,8421504
1,284,917,502,0.000,0.000,8421504
1,285,886,522,1.217,36.892,8289918
1,286,908,497,1.099,33.302,8487297
1,287,882,532,1.439,43.600,8158332
1,288,902,516,0.845,25.612,8750469
1,289,902,516,0.000,0.000,8750469
1,290,889,528,0.584,17.692,8947848
1,291,926,486,1.847,55.973,8618883
1,292,917,520,1.161,35.171,8882055
1,293,942,488,1.340,40.608,8947848
1,294,942,488,0.000,0.000,8947848
1,295,916,520,1.361,41.231,8618883
1,296,909,526,0.304,9.220,9013641
1,297,941,498,1.403,42.521,8947848
1,298,954,473,0.930,28.178,9408399
1,299,954,473,0.000,0.000,9408399
1,300,937,500,1.053,31.906,8618883
1,301,912,521,1.077,32.650,8684676
1,302,893,532,0.724,21.954,8224125
1,303,916,513,0.984,29.833,8421504
1,304,916,513,0.000,0.000,8355711
1,305,944,482,1.379,41.773,9408399
1,306,916,512,1.354,41.037,8553090
1,307,950,470,1.783,54.037,9474192
1,308,913,504,1.658,50.249,8158332
1,309,913,504,0.000,0.000,8224125
1,310,916,537,1.093,33.136,8026746
1,311,942,489,1.801,54.589,8684676
1,312,950,472,0.620,18.788,9539985
1,313,950,490,0.594,18.000,9145227
1,314,950,490,0.000,0.000,9145227
1,315,916,529,1.707,51.740,8224125
1,316,900,529,0.528,16.000,8158332
1,317,932,501,1.403,42.521,8289918
1,318,932,501,0.000,0.000,8289918
1,319,900,518,1.196,36.235,8158332
1,320,937,492,1.492,45.222,8882055
1,321,908,513,1.182,35.805,8816262
1,322,928,489,1.031,31.241,9276813
1,323,928,489,0.000,0.000,9145227
1,324,884,533,2.053,62.225,8158332
1,325,917,508,1.366,41.400,8750469
1,326,897,545,1.388,42.059,8158332
